time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,120.0
7,0.0,0,0,0,0,120.0
8,0.0,0,0,0,0,120.0
9,0.0,0,0,0,0,120.0
10,0.0,0,0,0,0,120.0
11,0.0,0,0,0,0,120.0
12,0.0,0,0,0,0,120.0
13,0.0,0,0,0,0,120.0
14,0.0,0,0,0,0,120.0
15,0.0,0,0,0,0,120.0
16,0.0,0,0,0,0,120.0
17,0.0,0,0,0,0,120.0
18,0.0,0,0,0,0,120.0
19,0.0,0,0,0,0,120.0
20,0.0,0,0,0,0,120.0
21,0.0,0,0,0,0,120.0
22,0.0,0,0,0,0,120.0
23,0.0,0,0,0,0,120.0
24,0.0,0,0,0,0,120.0
25,0.0,0,0,0,0,120.0
26,0.0,0,0,0,0,120.0
27,0.0,0,0,0,0,120.0
28,0.0,0,0,0,0,120.0
29,0.0,0,0,0,0,120.0
30,0.0,0,0,0,0,120.0
31,0.0,0,0,0,0,120.0
32,0.0,0,0,0,0,120.0
33,0.0,0,0,0,0,120.0
34,0.0,0,0,0,0,120.0
35,0.0,0,0,0,0,120.0
36,0.0,0,0,0,0,120.0
37,0.0,0,0,0,0,120.0
38,0.0,0,0,0,0,120.0
39,0.0,0,0,0,0,120.0
40,0.0,0,0,0,0,120.0
41,0.0,0,0,0,0,120.0
42,0.0,0,0,0,0,120.0
43,0.0,0,0,0,0,120.0
44,0.0,0,0,0,0,120.0
45,0.0,0,0,0,0,120.0
46,0.0,0,0,0,0,120.0
47,0.0,0,0,0,0,120.0
48,0.0,0,0,0,0,120.0
49,0.0,0,0,0,0,119.25
50,0.0,0,0,0,0,118.5
51,0.0,0,0,0,0,117.75
52,0.0,0,0,0,0,117.0
53,0.0,0,0,0,0,116.25
54,0.0,0,0,0,0,115.5
55,0.0,0,0,0,0,114.75
56,0.0,0,0,0,0,114.0
57,0.0,0,0,0,0,113.25
58,0.0,1,0,0,0,112.5
59,88.6643,1,1,0,0,112.2203
60,88.6643,1,1,0,0,111.4703
61,88.6643,1,1,0,0,110.7203
62,88.6643,1,1,0,0,109.9703
63,88.6643,2,1,0,0,109.2203
64,88.6643,2,1,0,0,108.4703
65,88.6643,2,1,0,0,107.7203
66,88.6643,2,1,0,0,106.9703
67,88.6643,2,1,0,0,106.2203
68,88.6643,2,1,0,0,105.4703
69,88.6643,2,1,0,0,104.7203
70,88.6643,2,1,0,0,104.4405
71,88.6643,1,1,0,0,103.6905
72,88.6643,1,1,0,0,102.9405
73,88.6643,1,1,0,0,102.1905
74,88.6643,1,1,0,0,101.4405
75,88.6643,1,1,0,0,100.6905
76,88.6643,1,1,0,0,99.9405
77,88.6643,1,1,0,0,99.1905
78,88.6643,1,1,0,0,98.4405
79,88.6643,1,1,0,0,97.6905
80,88.6643,1,1,0,0,96.9405
81,174.7286,1,2,0,0,96.6608
82,174.7286,1,2,0,0,95.9108
83,174.7286,1,2,0,0,95.1608
84,174.7286,1,2,0,0,94.4108
85,174.7286,1,2,0,0,93.6608
86,174.7286,1,2,0,0,92.9108
87,174.7286,1,2,0,0,92.1608
88,174.7286,1,2,0,0,91.4108
89,174.7286,1,2,0,0,90.6608
90,174.7286,1,2,0,0,89.9108
91,174.7286,1,2,0,0,89.1608
92,174.7286,1,2,0,0,88.881
93,174.7286,0,2,0,0,88.131
94,174.7286,0,2,0,0,87.381
95,174.7286,0,2,0,0,86.631
96,174.7286,0,2,0,0,85.881
97,174.7286,0,2,0,0,85.131
98,174.7286,0,2,0,0,84.381
99,261.4904,0,3,0,0,83.8492
100,261.4904,0,3,0,0,83.0992
101,261.4904,0,3,0,0,82.3492
102,261.4904,0,3,0,0,81.5992
103,261.4904,0,3,0,0,80.8492
104,261.4904,0,3,0,0,80.0992
105,261.4904,0,3,0,0,79.3492
106,261.4904,0,3,0,0,78.8174
107,261.4904,0,3,0,0,78.8174
108,261.4904,0,3,0,0,78.8174
109,261.4904,0,3,0,0,78.8174
110,261.4904,0,3,0,0,78.8174
111,261.4904,0,3,0,0,78.8174
112,261.4904,0,3,0,0,78.8174
113,261.4904,0,3,0,0,78.8174
114,261.4904,0,3,0,0,78.8174
115,261.4904,0,3,0,0,78.8174
116,261.4904,0,3,0,0,78.8174
117,261.4904,0,3,0,0,78.8174
118,261.4904,0,3,0,0,78.8174
119,261.4904,0,3,0,0,78.8174
120,261.4904,0,3,0,0,78.8174
121,261.4904,0,3,0,0,78.8174
122,261.4904,0,3,0,0,78.8174
123,261.4904,0,3,0,0,78.8174
124,261.4904,0,3,0,0,78.8174
125,261.4904,0,3,0,0,78.8174
126,261.4904,0,3,0,0,78.8174
127,261.4904,0,3,0,0,78.8174
128,261.4904,0,3,0,0,78.8174
129,261.4904,0,3,0,0,78.8174
130,261.4904,0,3,0,0,78.8174
131,261.4904,0,3,0,0,78.8174
132,261.4904,0,3,0,0,78.8174
133,261.4904,0,3,0,0,78.8174
134,261.4904,0,3,0,0,78.8174
135,261.4904,0,3,0,0,78.8174
136,261.4904,0,3,0,0,78.8174
137,261.4904,0,3,0,0,78.8174
138,261.4904,0,3,0,0,78.8174
139,261.4904,0,3,0,0,78.8174
140,261.4904,0,3,0,0,78.8174
141,261.4904,0,3,0,0,78.8174
142,261.4904,0,3,0,0,78.8174
143,261.4904,0,3,0,0,78.8174
144,261.4904,0,3,0,0,78.8174
145,261.4904,0,3,0,0,78.8174
146,261.4904,0,3,0,0,78.8174
147,261.4904,0,3,0,0,78.8174
148,261.4904,0,3,0,0,78.8174
149,261.4904,0,3,0,0,78.8174
150,261.4904,0,3,0,0,78.8174
151,261.4904,0,3,0,0,78.8174
152,261.4904,0,3,0,0,78.8174
153,261.4904,0,3,0,0,78.8174
154,261.4904,0,3,0,0,78.8174
155,261.4904,0,3,0,0,78.8174
156,261.4904,0,3,0,0,78.8174
157,261.4904,0,3,0,0,78.8174
158,261.4904,0,3,0,0,78.8174
159,261.4904,0,3,0,0,78.8174
160,261.4904,0,3,0,0,78.8174
161,261.4904,0,3,0,0,78.8174
162,261.4904,0,3,0,0,78.8174
163,261.4904,0,3,0,0,78.8174
164,261.4904,0,3,0,0,78.8174
165,261.4904,0,3,0,0,78.8174
166,261.4904,0,3,0,0,78.8174
167,261.4904,0,3,0,0,78.8174
168,261.4904,0,3,0,0,78.8174
169,261.4904,0,3,0,0,78.8174
170,261.4904,0,3,0,0,78.8174
171,261.4904,0,3,0,0,78.8174
172,261.4904,0,3,0,0,78.8174
173,261.4904,0,3,0,0,78.8174
174,261.4904,0,3,0,0,78.8174
175,261.4904,0,3,0,0,78.8174
176,261.4904,0,3,0,0,78.8174
177,261.4904,0,3,0,0,78.8174
178,261.4904,0,3,0,0,78.8174
179,261.4904,0,3,0,0,78.8174
